#Cfactor 1.00101
Recipient	pg_14682_TAS	pg_14687_TAS	pg_14689_TAS	pg_14690_TAS	pg_14693_TAS	pg_14702_TAS	pg_14709_TAS	pg_14711_TAS	pg_14712_TAS	pg_14718_TAS	pg_14720_TAS	pg_14725_VIC	pg_14735_VIC	pg_14747_VIC	pg_14749_VIC	pg_14753_VIC	pg_14755_VIC	pg_14756_VIC	pg_14757_VIC	pg_14758_VIC	pg_14759_VIC	pg_14761_VIC	pg_14762_VIC	pg_14763_VIC	pg_14764_VIC	pg_14766_VIC	pg_14767_VIC	pg_14768_VIC	pg_14769_VIC	pg_14770_VIC	pg_14771_VIC	pg_14776_VIC	pg_14777_VIC	pg_14778_VIC	pg_14779_VIC	pg_14781_VIC	pg_14783_VIC	pg_14784_VIC	pg_14785_VIC	pg_14786_VIC	pg_14787_VIC	pg_14789_VIC	pg_14790_VIC	pg_14791_VIC	pg_14792_VIC	pg_14793_VIC	pg_14796_VIC	pg_14798_VIC	pg_14799_VIC	pg_14800_VIC	pg_14810_VIC	pg_14812_VIC	pg_14814_VIC	pg_14815_VIC	pg_14818_VIC	pg_15516_CHI	pg_15518_CHI	pg_15520_CHI	pg_15529_CHI	pg_15535_CHI	pg_15537_CHI	pg_15538_CHI	pg_15541_CHI	pg_15545_CHI	pg_15546_CHI	pg_15547_CHI	pg_15550_CHI	pg_15551_CHI	pg_15552_CHI	pg_15556_CHI	pg_15559_CHI	pg_15560_CHI	pg_15562_CHI	pg_15563_CHI	pg_15565_CHI	pg_15567_CHI	pg_15571_CHI	pg_15575_CHI	pg_15578_CHI	pg_15579_CHI	pg_15581_CHI	pg_15586_CHI	pg_15588_CHI	pg_15595_CHI	pg_15603_CHI	pg_15605_CHI	pg_15606_CHI	pg_15609_CHI	pg_15611_CHI	pg_15905_NZN	pg_15906_NZN	pg_15907_NZN	pg_15909_NZN	pg_15910_NZN	pg_15911_NZN	pg_15912_NZN	pg_15913_NZN	pg_15915_NZN	pg_15916_NZN	pg_15917_NZN	pg_15918_NZN	pg_15920_NZN	pg_15921_NZN	pg_15923_NZN	pg_15924_NZN	pg_15926_NZN	pg_15927_NZN	pg_15928_NZN	pg_15929_NZN	pg_15930_NZN	pg_15931_NZN	pg_15932_NZN	pg_15934_NZN	pg_15937_NZN	pg_15938_NZN	pg_15940_NZN	pg_15942_NZN	pg_15943_NZN	pg_15944_NZN	pg_15946_NZN	pg_15948_NZN	pg_15949_NZN	pg_15950_NZN	pg_15951_NZN	pg_15952_NZN	pg_15953_NZN	pg_15954_NZN	pg_15955_NZN	pg_15957_NZN	pg_15958_NZN	pg_15959_NZN	pg_15963_NZN	pg_15975_NZN	pg_15980_NZN	pg_15981_NZN	pg_15982_NZN	pg_15984_NZN	pg_15986_NZN	pg_15987_NZN	pg_15988_NZN	pg_15991_NZN	pg_15993_NZN	pg_15995_NZN	pg_15997_NZN	pg_16000_NZS	pg_16002_NZS	pg_16003_NZS	pg_16009_NZS	pg_16010_NZS	pg_16012_NZS	pg_16022_NZS	pg_16025_NZS	pg_16034_NZS	pg_16037_NZS	pg_16039_NZS	pg_16040_NZS	pg_16042_NZS	pg_16043_NZS	pg_16045_NZS	pg_16046_NZS	pg_16056_NZS	pg_16057_NZS	pg_16067_NZS	pg_16068_NZS	pg_16069_NZS	pg_16070_NZS	pg_16073_NZS	pg_16074_NZS	pg_16075_NZS	pg_16076_NZS	pg_16077_NZS	pg_16078_NZS	pg_16079_NZS	pg_16080_NZS	pg_16081_NZS	pg_16084_NZS	pg_16089_NZS	pg_16091_NZS	pg_16092_NZS	pg_16093_NZS	pg_16094_NZS	pg_16096_NZS	pg_16097_NZS	pg_16099_NZS	pg_16100_NZS	pg_16101_NZS	pg_16104_NZS	pg_16106_NZS	pg_16107_NZS	pg_16108_NZS	pg_16111_NZS	pg_16112_NZS	pg_16113_NZS	pg_16114_NZS	pg_16115_NZS	pg_16116_NZS	pg_16117_NZS	pg_16119_NZS	pg_16122_NZS	pg_16123_NZS	pg_16124_NZS	pg_16126_NZS	pg_16128_NZS	pg_16130_NZS	pg_16131_NZS	pg_16132_NZS	pg_16134_NZS	pg_16135_NZS	pg_16138_PHO	pg_16139_PHO	pg_16140_PHO	pg_16141_PHO	pg_16142_CHI	pg_17204_CAM	pg_17206_NZS	pg_17208_NZS
pg_14682_TAS	0	91.3561	104.973	96.5521	107.972	112.417	102.052	110.713	105.765	104.067	102.104	83.9654	94.9141	74.2306	88.6799	90.2998	91.2242	88.1349	86.6448	92.0091	53.57	57.3426	97.3371	98.9645	106.699	94.2851	88.6744	99.2911	96.2939	88.0486	81.4063	92.5635	90.6818	77.6416	97.8221	93.5344	107.324	92.9539	103.714	91.3469	98.0287	99.7708	96.5207	101.326	99.0886	93.6825	110.876	105.358	89.6252	91.2503	83.7421	90.8409	99.4641	98.3187	64.8447	57.7786	58.3582	64.9091	67.3781	60.4656	59.7902	59.8338	61.5591	64.988	65.1676	66.2387	63.8881	64.9612	65.9672	65.4389	66.4521	66.0242	68.718	65.7785	62.992	62.8948	62.571	64.8815	65.767	63.0274	66.9962	63.4196	72.8129	63.8099	65.8037	63.2206	63.3171	63.9244	63.9401	65.9126	67.1619	68.9744	67.7542	59.4478	57.1129	55.4749	63.4721	62.9571	55.7682	72.3966	66.482	56.2371	53.9348	65.1702	57.8433	65.4234	65.0745	65.9791	68.8598	64.6022	67.3913	63.9301	54.1249	65.6664	54.1434	57.0888	51.0528	57.0222	56.5814	55.3274	54.1644	54.0644	54.0388	55.2583	53.8823	64.8098	56.7797	52.5611	55.4381	54.3085	66.3259	55.5259	56.8894	65.2248	52.6185	56.1459	50.7796	67.949	54.7201	61.0353	57.4463	55.1536	67.7906	51.6398	58.4469	55.6358	64.1246	58.1061	55.9181	56.3482	62.8279	65.3417	64.2596	58.7812	61.5046	72.571	62.9953	64.2045	60.4154	65.2033	71.0257	67.255	67.1584	57.1582	82.0402	65.3412	62.6177	66.7746	64.3474	57.4183	65.8185	105.224	66.3867	74.4675	62.1511	64.6078	69.0247	65.9996	66.185	68.8017	71.5414	66.6996	63.7108	64.2792	63.3128	66.2661	69.1367	64.0997	68.5985	60.2631	63.6843	65.7991	62.9857	65.0675	62.8105	62.5674	54.475	54.0332	58.8351	53.918	57.2346	57.8562	71.3407	54.7565	56.6578	56.2004	65.4165	54.2783	55.8025	56.8771	57.0221	59.3149	59.7971	67.8589	66.3549	65.3627
pg_14687_TAS	91.2844	0	109.911	121.673	112.68	85.6773	111.627	96.5791	94.299	97.5515	118.193	103.93	83.1631	62.9625	92.4924	86.8937	89.2015	90.0293	84.5684	80.8035	57.6866	64.1304	94.1107	95.8206	96.9831	101.536	86.1467	89.4452	106.843	91.1055	84.1531	90.7217	100.201	82.9797	101.622	93.5772	90.1423	90.5878	95.1496	93.0543	82.7812	99.561	96.7733	95.6632	102.52	96.7476	91.7255	96.239	92.6698	89.109	90.5827	98.4413	99.7054	96.4211	65.8954	63.7566	60.7352	64.186	61.9772	62.0363	61.4285	60.8715	65.8367	65.7342	62.8272	67.1855	62.5534	64.4825	64.329	63.8362	64.8261	63.4064	63.0823	63.9554	62.5046	66.2309	62.1978	67.8096	62.0607	59.5687	66.2031	60.8176	64.3036	60.5541	66.164	60.8626	63.296	63.8045	66.4298	70.8948	68.2168	65.0649	61.9294	56.5341	56.461	56.386	61.4428	67.031	60.7846	67.934	70.875	55.1836	52.789	65.5959	59.9688	70.0115	67.4318	66.527	59.1956	62.4991	66.6453	88.2401	63.0234	71.2672	57.9419	58.129	56.2142	53.5816	56.306	57.0389	59.4203	54.745	52.7901	55.9458	58.6138	68.1621	55.6847	57.4187	60.5599	60.8589	69.7436	54.7108	58.6064	59.2493	50.155	54.9728	56.049	64.8292	56.8476	66.1443	56.2978	55.8903	62.201	56.3441	54.5373	54.5762	54.6126	53.3279	65.2048	54.9393	70.3035	67.8723	65.7093	56.09	66.1188	64.6672	69.8926	66.486	60.7142	67.9451	74.8191	69.2129	64.8057	61.5555	62.4634	68.4776	65.6568	66.8398	63.0021	61.022	61.7321	62.1336	65.8364	62.1093	62.0805	66.237	66.038	68.0144	64.1234	77.9324	70.9691	66.2765	63.6971	67.9001	63.5592	65.2356	107.801	66.7011	65.8456	66.4159	64.2366	64.4909	61.8471	64.7819	64.5912	62.0755	53.4992	55.6738	63.0136	50.5802	60.0098	54.9564	66.8691	49.6788	58.0104	55.1007	65.9784	57.2939	54.6755	54.24	59.4806	55.6838	63.5797	63.9456	68.1591	71.4683
pg_14689_TAS	100.418	109.678	0	247.936	108.083	95.4069	101.514	97.8078	105.281	101.97	100.741	89.7687	85.8677	63.4871	92.3892	90.1429	91.7963	89.5101	87.4555	88.5214	60.4729	59.0028	95.9064	98.9751	96.4432	94.2452	84.9833	100.51	84.7474	86.0086	91.577	92.8739	91.9167	87.1304	100.667	91.9769	93.3623	94.4936	91.5998	94.4028	86.9316	88.7554	95.8739	94.9463	99.1572	93.7427	89.7491	98.1766	92.8525	92.2448	96.5958	97.1537	247.949	241.419	60.3837	55.5453	59.1258	61.49	63.4856	62.5883	56.132	56.4028	63.4249	63.0145	62.1664	64.753	62.8588	62.8143	63.6097	62.0802	62.6415	61.7989	63.1659	62.3844	62.6641	63.1745	61.843	62.1283	64.5796	59.1533	66.3016	61.8867	60.1887	63.2617	62.0405	63.1551	63.0476	63.6444	62.9425	65.6378	63.6037	63.0898	63.1113	54.3293	54.9485	59.6447	60.6558	64.4921	55.6121	66.6819	65.3775	53.3329	57.0847	63.5483	56.5628	66.6031	63.8579	66.3084	62.9674	63.9894	64.7656	63.3938	53.1503	64.2802	54.0917	53.6761	52.0562	54.909	52.4748	55.8934	53.0405	55.2044	52.972	53.6948	50.9648	65.1674	54.1073	54.2135	54.4195	52.8043	65.81	53.5063	55.4665	63.0939	53.2981	54.6244	52.102	61.5309	54.431	60.1897	54.5297	52.3945	64.3767	52.9849	54.4153	55.8348	54.8814	55.649	54.4934	55.0418	65.9034	64.9397	62.5866	56.0525	61.0424	62.9801	65.3064	62.0985	59.9125	67.4937	68.7235	64.2857	63.0893	56.0051	67.9134	65.6397	65.7396	62.5717	63.1335	55.0632	62.8719	62.3705	63.6649	59.7947	64.2009	62.3039	61.0218	63.2208	62.7565	61.9933	67.5675	69.1896	64.6197	64.6858	63.0869	64.6991	61.0797	64.29	64.119	61.6063	63.6477	59.1797	64.341	64.6759	63.386	63.3099	52.031	53.3924	53.9444	51.9576	51.7781	50.0763	67.966	50.6509	54.2241	55.0018	64.2718	54.013	55.1113	53.5212	53.771	55.6227	59.5522	67.6515	69.2094	65.2198
pg_14690_TAS	96.4159	119.753	248.166	0	102.922	86.5209	102.549	99.0224	97.731	104.882	100.234	94.415	83.7524	62.6367	90.465	92.8208	92.0954	91.6587	87.9884	90.912	61.5024	59.2055	92.2284	94.5987	95.6592	92.8077	86.5223	96.2937	91.4894	87.2222	89.2787	94.5682	92.9306	88.3617	101.445	93.1541	88.1469	93.1001	94.806	90.2669	85.4707	91.7029	93.2188	96.0608	102.452	93.5093	87.6267	100.061	94.5786	90.2039	92.8415	98.7627	250.988	215.787	60.3826	56.7547	58.8014	61.3563	63.4622	63.5417	56.2496	57.1929	65.1621	63.168	62.3058	63.9395	62.3823	63.1304	63.1267	60.8993	64.0396	61.1205	65.2439	64.795	60.712	61.7661	64.7117	61.8062	64.5984	59.7801	66.5205	68.9021	59.8376	63.8704	62.031	62.5409	61.6216	61.5604	62.2291	63.6123	62.2999	62.131	67.3516	53.5838	54.8689	55.5827	60.7614	63.0638	58.1191	63.2178	65.658	53.8387	56.669	66.5411	67.4646	65.9215	62.978	67.931	62.1364	62.7769	63.1181	61.0195	54.3117	63.526	53.0674	51.3008	52.5532	55.1605	54.4298	56.0152	53.7767	55.6477	48.5957	54.5205	51.1939	64.5682	54.4313	53.3533	52.8465	51.9223	63.0423	54.5265	51.8338	63.048	53.2075	52.561	50.661	62.8201	54.2951	60.2688	55.8065	55.1635	63.0187	54.4149	55.5342	53.1982	55.4229	54.6763	54.5444	55.74	66.2877	66.6894	62.9332	57.9781	62.117	63.1863	63.9293	62.4165	59.3005	64.9704	64.7681	70.9514	65.1789	56.5442	62.9838	65.3827	77.1495	62.966	61.2964	54.4962	61.0064	60.1863	66.2834	62.9637	62.9554	62.6525	62.6925	63.4928	61.7033	61.6332	66.8447	68.7114	61.0473	66.7026	73.4188	63.8232	60.2302	61.8348	62.6082	63.713	64.604	65.7939	66.4517	61.6491	63.369	62.2016	52.9198	55.572	53.9907	50.5585	51.7795	54.4937	67.1299	51.9995	54.3096	57.9379	61.5632	54.4179	54.0395	53.8574	54.4165	55.2409	60.9415	68.5501	69.4045	66.7961
pg_14693_TAS	105.261	113.733	104.508	105.792	0	95.257	107.711	101.751	122.19	104.029	103.134	87.7877	83.693	64.881	91.6258	89.1162	94.841	86.7614	86.0536	84.6388	58.8065	61.7281	98.3251	103.843	101.882	94.3457	89.6244	103.577	84.1332	89.6487	96.3907	106.177	98.4451	93.7979	95.1974	94.5715	101.334	99.7141	101.987	91.696	93.4671	92.3671	91.864	107.395	100.485	99.3944	106.374	94.7737	89.8145	94.8275	95.3806	97.8393	105.751	103.267	62.3111	56.8476	60.0691	62.1554	65.5627	62.8563	59.3946	59.3421	60.2884	65.214	63.1674	64.0309	65.4092	62.1707	66.8104	64.7087	64.4046	65.5914	63.8774	64.6799	64.8761	63.7952	62.8431	65.4099	65.4426	63.7825	68.7909	63.3903	59.5483	65.5409	63.0298	62.5292	63.9032	63.9706	62.9218	62.6861	66.8952	70.9217	64.8462	57.0257	56.2318	53.7413	65.59	83.9874	58.9227	64.5562	64.6292	57.6441	54.1801	66.3635	62.7046	62.2163	62.8154	64.8125	69.2125	64.8298	64.6273	63.1733	55.909	65.2461	57.114	55.3746	59.0156	54.0864	57.3274	53.9053	52.2046	52.298	69.6947	53.3431	53.8938	65.6504	54.4161	52.9552	54.4044	52.7109	67.8536	55.0265	52.372	62.7169	52.6659	55.119	72.1447	62.1548	55.3911	63.6816	54.9464	54.2182	62.4943	54.1805	60.5528	55.6645	54.8702	56.4315	55.9674	58.3172	62.0047	68.2263	67.6302	61.1374	62.8863	65.9823	67.8627	66.0705	64.0184	67.9545	65.3769	66.4364	61.4982	59.0717	60.6218	78.5987	61.8977	64.059	67.3543	61.274	66.2431	61.0559	64.2779	63.778	60.9999	63.6037	64.8106	63.7959	62.9704	68.2949	68.371	64.9618	65.5359	66.2148	65.7222	65.4071	61.6965	65.7296	65.6237	62.5199	63.9292	57.8957	65.5247	60.8642	62.5828	67.1659	55.4045	56.6405	62.8058	52.2857	62.3247	54.115	68.5351	54.6552	54.6246	54.5386	69.0402	59.2184	57.1971	55.9972	58.5528	56.081	56.5634	65.7454	69.1303	75.4196
pg_14702_TAS	105.433	84.4368	96.3892	89.7638	93.2926	0	104.685	108.018	122.943	116.14	103.323	89.09	88.0766	64.4219	92.8656	92.5857	92.129	86.3997	105.461	89.6458	64.1228	60.5747	93.0663	99.5893	100.138	108.495	97.8087	103.413	90.5665	91.4829	89.0757	107.907	80.907	83.1414	92.6955	94.3398	110.457	89.4645	114.1	85.9157	111.305	95.8889	89.1905	88.0964	94.4703	92.0797	94.8153	92.4642	90.8045	89.0429	90.7775	101.009	90.1458	97.9227	65.1144	55.0755	59.6511	61.2722	64.7663	63.1193	57.3329	57.7747	65.1522	65.7166	63.1099	64.2903	63.5683	65.0221	65.0649	64.8605	65.6782	64.4443	65.4126	65.6394	67.1219	68.3206	62.0189	65.9185	66.4177	63.2176	64.5841	65.1627	61.7738	68.1623	65.4177	66.5645	68.9147	64.3225	66.6203	67.9433	68.7755	76.9693	65.8205	55.7587	62.9171	60.6877	65.9927	78.9412	56.0518	65.3749	68.2975	58.8548	60.0118	64.4707	65.2021	61.5939	63.4236	66.3913	65.5685	67.9121	65.3809	61.7808	59.7827	69.4635	55.4375	57.6071	51.7088	55.8019	58.2244	56.7038	52.585	54.5684	57.0239	56.4641	51.3195	69.047	56.0462	54.9454	56.738	51.2927	74.351	61.6958	55.7709	62.1885	51.7301	53.6679	47.1886	62.2309	58.2181	63.0028	53.819	51.0709	67.2192	66.4965	61.4265	58.1555	56.5503	55.6399	60.8737	53.6033	61.7557	69.1926	66.297	57.7102	65.2664	68.26	65.2396	72.5485	65.0165	66.3787	67.3022	67.686	61.226	55.6136	64.3671	63.1586	73.893	63.9592	73.3974	58.7624	64.5234	61.4261	68.478	61.0796	61.991	67.7657	62.6072	66.8081	66.1585	67.0101	66.4184	64.4209	65.9846	66.2427	62.9768	64.8664	64.0073	63.631	65.9762	63.1241	62.5255	64.106	60.7748	68.6334	62.7678	62.0097	54.8948	58.9118	53.7514	45.6208	55.1932	54.7408	71.7558	54.0429	56.7361	57.8766	68.3269	50.299	57.168	57.4373	57.1035	59.505	63.9304	70.7819	70.0991	64.7219
pg_14709_TAS	99.3688	109.982	102.159	102.739	104.984	102.557	0	105.34	106.072	100.794	108.598	104.038	98.4375	70.9653	88.8679	93.6643	91.5466	90.4393	91.4559	92.4305	56.5485	66.1139	95.1394	99.3716	94.4934	95.4987	89.2671	102.442	92.4248	97.4418	96.0658	96.8424	91.4766	86.4407	104.169	90.1127	95.4882	91.9747	103.487	91.3224	92.1775	102.68	95.8264	98.3035	99.4255	92.9195	92.4315	95.5696	96.465	84.7157	90.5695	98.9312	103.735	106.111	57.0399	56.0095	56.0534	60.366	63.1321	61.1876	52	58.1934	61.9668	65.172	66.3638	65.4956	68.2279	66.631	63.4514	61.0266	65.1487	64.7859	63.924	65.136	63.4834	65.6551	60.7042	63.4988	64.8722	63.906	65.9685	63.1253	61.7529	66.6863	62.2867	65.4894	65.0557	62.8059	62.5451	66.4831	65.0371	63.3988	68.9431	54.4811	56.155	57.4494	62.337	68.7819	55.1591	65.5032	68.6686	57.8245	53.3669	62.9056	62.5824	68.6648	65.5589	66.5641	64.122	63.3588	67.901	69.0341	58.1411	68.8784	55.9835	53.3648	52.4432	55.2066	58.9085	54.613	59.532	52.3188	56.1327	55.3981	55.5842	70.9966	56.2088	52.7328	58.5837	54.4593	65.5538	55.8251	57.2674	65.4348	56.1107	59.9281	55.5284	64.7689	56.7083	63.4378	56.0525	54.8773	64.4922	54.8688	65.2609	54.63	53.3496	55.5163	52.4502	55.6318	64.0663	67.0096	67.8444	57.39	67.1731	69.3618	64.9206	65.9048	62.2843	63.5925	64.3963	74.8069	63.3482	56.5002	66.8254	66.7535	63.4268	70.4944	65.3059	56.0248	67.7529	63.2275	66.5358	70.1312	64.5529	64.2387	63.9117	64.9634	67.9346	65.0014	66.7515	64.9586	64.3582	70.5626	84.827	67.0183	63.8389	64.9252	63.1541	64.8102	63.3201	62.4892	65.6973	63.6723	75.2987	64.2421	57.3914	56.0016	58.7591	52.0239	56.2888	53.485	66.0196	54.1696	56.2651	57.1317	67.2823	60.5574	56.7663	61.3351	54.934	54.5551	59.7775	66.9914	69.0584	61.5744
pg_14711_TAS	108.693	93.1447	97.5029	99.1252	101.509	105.483	104.834	0	294.788	109.578	116.911	95.0122	85.9742	70.2358	89.7252	94.9647	94.4788	89.4429	89.4411	91.0965	59.5522	65.3947	97.9757	100.894	95.6061	94.2247	87.2686	96.1508	83.1522	85.4277	88.3031	94.8523	93.8586	90.9901	95.0192	88.1264	90.7764	92.2227	99.2871	91.7959	93.5111	95.3392	90.8813	97.3287	97.7595	94.3796	89.6131	103.976	92.2098	94.2065	93.1023	101.579	99.5181	97.4618	60.2147	54.9109	55.8321	62.2131	63.0559	59.0687	57.2112	57.5027	62.8039	63.2012	68.0131	63.3497	65.8192	63.7381	61.8425	64.649	66.0931	63.142	64.4556	64.9914	62.2351	64.1649	64.561	63.446	65.1373	63.4276	67.8384	63.6441	60.5627	63.0333	64.524	62.8239	63.3261	63.6825	64.0759	66.2936	65.2693	65.73	68.0119	57.4992	55.1616	58.2412	66.7547	63.1643	55.4875	71.1754	65.6922	56.6948	54.4155	64.6505	60.265	64.5097	68.977	66.9849	65.368	63.7585	65.7837	65.6166	57.1636	66.2236	55.9376	54.5871	54.0881	55.6697	53.5219	54.9529	54.8638	51.8533	54.6653	56.0914	53.9472	69.8226	52.8615	53.0624	55.7281	54.8803	64.4167	55.3219	63.6529	64.1943	53.9228	52.8611	55.823	64.0754	55.7582	62.8151	54.3583	54.1485	66.8155	58.4643	56.7936	55.4925	54.3933	55.1234	57.1612	53.7275	65.0816	65.5402	68.7926	61.4397	63.5607	65.3181	65.3759	66.2585	59.6628	64.8119	64.0946	67.4625	63.6543	57.7504	65.4139	61.0165	65.2841	67.9494	67.1542	59.5983	63.2737	59.2817	62.1365	64.7447	66.4981	63.8561	63.6133	65.3507	63.5647	61.4075	67.6481	66.615	62.1293	62.5845	58.7067	68.1013	62.6551	62.6451	66.4119	61.7738	62.3678	67.5793	64.2089	63.5063	69.3998	68.621	56.0705	54.7329	54.7693	52.2409	55.26	53.1957	65.53	54.1675	55.3604	61.2521	66.4194	55.6258	55.569	54.1671	55.9982	53.7384	63.7259	68.9166	67.6339	61.7034
pg_14712_TAS	105.645	94.9054	107.359	96.7505	119.663	119.364	102.501	298.237	0	110.72	116.238	102.168	86.9484	67.6918	91.0345	94.839	94.7065	86.9752	91.3478	87.901	71.3784	64.9265	98.6767	105.516	97.6342	94.9336	84.3009	93.9888	77.6981	88.7635	90.7301	93.4147	83.3528	85.4048	94.1242	95.7205	96.8045	92.6124	90.0196	88.0654	94.3452	87.8436	98.23	95.7017	94.8034	95.5113	101.443	89.6133	99.9339	93.854	93.6712	91.6609	98.4745	100.754	64.1592	55.2878	55.2982	63.2105	57.0522	60.5833	57.1669	55.9129	58.5965	63.0034	58.2449	63.5176	60.9639	63.0992	63.4775	63.9001	65.5967	64.2246	62.1821	63.6568	62.7741	67.1236	59.8968	63.0213	62.1248	60.9819	62.5568	63.5972	62.9301	61.4762	65.1348	61.6893	62.6852	64.5793	57.9315	67.6651	67.6594	65.9235	67.0243	54.1334	55.2942	58.238	62.7655	65.0174	55.615	69.8977	65.5558	57.5494	53.538	68.0859	58.4407	60.7803	69.2297	66.0171	65.1104	66.267	62.8059	63.338	56.6711	67.634	58.8333	56.2991	51.3498	67.1862	55.5092	60.4073	53.3477	51.6819	58.5392	54.9482	62.8237	67.2517	56.3808	55.9031	55.8684	57.1868	67.3642	58.0194	57.8331	64.4986	56.1288	56.3958	62.1501	60.8832	58.7763	61.9683	57.8638	53.2694	60.7353	57.4946	65.3606	54.1697	52.6521	55.9435	51.7844	54.4911	67.4397	67.8512	79.486	60.7345	61.1611	67.9349	66.8379	62.7579	55.8999	64.3067	65.7051	61.5805	68.2224	58.2405	60.5313	57.6837	64.4385	64.3497	64.975	64.329	61.1166	62.6021	63.3334	62.4983	60.176	62.7225	67.1513	62.9524	60.5552	62.1984	71.009	67.6727	57.8563	64.268	60.2948	68.8036	60.896	67.0623	66.291	70.1168	62.4826	61.8051	61.3858	65.9794	67.0685	60.5945	54.3682	50.8355	52.1006	58.0895	54.7698	50.8462	66.6713	57.0852	54.7808	51.1269	65.94	57.2548	56.6325	52.5572	53.7942	53.9635	58.5943	71.1575	68.4212	56.5594
pg_14718_TAS	100.252	96.2047	102.499	104.435	102.715	111.636	100.221	109.398	109.913	0	118.218	101.35	91.266	68.3415	92.2972	98.4346	99.8637	92.2358	93.8369	88.8739	65.5233	65.6652	104.953	105.967	105.93	101.613	94.0704	100.727	85.6982	85.4307	92.1388	91.4628	90.59	89.0839	100.5	99.594	97.6995	100.924	98.2145	95.8184	89.7327	95.8105	98.7844	101.622	103.087	98.8222	100.803	101.318	99.969	97.9062	101.133	102.347	104.865	95.26	59.8881	55.338	56.5659	60.6496	61.2253	60.0214	51.634	56.5378	62.5567	64.2484	62.1868	62.7079	64.0936	63.5984	63.8023	59.5697	66.3807	61.7496	64.4628	63.6917	62.1851	62.8447	59.6389	62.274	66.3676	63.9213	67.2185	65.9431	60.9118	64.6381	63.0154	63.6912	64.6946	63.1129	63.2248	71.5847	66.8283	69.2159	66.0725	55.4564	54.396	57.5981	64.4051	61.0812	55.0581	65.104	69.1877	58.074	52.7316	66.3779	59.2559	63.2546	64.5924	67.2886	67.7803	62.1644	65.0302	63.7055	57.6509	66.447	56.9539	54.6082	52.0116	56.4219	54.11	56.3171	52.0686	54.697	51.8668	55.8379	55.529	70.2232	56.1242	54.5251	56.1672	53.2637	64.6209	55.8542	59.6829	67.1561	54.9949	55.6176	53.3842	69.0414	56.136	61.7861	57.7767	54.3155	65.0657	62.2622	57.2283	56.8579	55.7894	58.3131	64.9235	56.9765	64.1826	68.1423	67.8547	56.9322	67.4182	64.2399	65.9047	65.9345	63.5038	64.3742	65.3707	63.4415	63.9446	57.9378	66.3046	64.6816	63.7283	64.3787	62.9914	52.8948	65.4503	60.6152	63.6866	64.9341	63.768	62.4376	61.3404	65.6031	65.552	65.4817	67.0916	66.0633	64.6766	68.6915	67.8452	64.7227	65.663	65.6906	61.666	61.7225	62.8357	62.6298	63.1181	64.31	66.482	71.7951	56.3484	57.2206	57.0802	59.7335	54.3962	53.5918	66.9891	54.5102	56.9824	57.5644	64.1637	55.5642	55.2789	55.6367	57.1248	56.354	59.0204	70.8371	68.6571	63.4173
pg_14720_TAS	100.279	114.176	101.07	99.3214	102.523	100.457	105.908	114.698	112.401	115.683	0	99.2949	103.323	68.3784	104.249	103.41	102.506	92.9949	98.8125	93.6705	64.1811	65.737	105.025	106.492	97.3793	98.8409	98.8602	100.21	98.8569	90.6967	100.571	100.507	90.7106	90.5678	99.5199	90.0045	106.422	95.6214	103.692	95.3468	101.411	98.5498	97.2415	97.5585	101.75	95.9013	97.4909	98.6253	98.016	96.6129	97.3311	100.061	97.2938	97.6697	61.3161	54.7367	52.7583	60.6459	61.9855	59.9796	55.2638	56.3813	64.3537	62.5533	61.8997	61.858	65.1915	63.7164	63.5918	62.099	63.888	62.3968	62.148	62.0605	62.8567	61.4401	61.6929	62.2559	61.2199	61.1972	64.8507	62.7154	61.9743	61.4614	60.8843	62.9071	63.932	62.0329	61.2215	63.0656	69.3103	66.4982	66.9791	55.2893	55.4003	52.7469	61.2301	65.5661	54.0582	62.8171	67.7111	57.3574	56.6881	68.1172	64.4083	71.7125	65.9255	67.2285	72.0377	62.7758	65.3544	61.1338	54.61	67.3445	55.392	53.1629	52.6786	54.8277	52.6559	55.9272	55.1654	51.5339	62.5354	54.9997	53.574	69.5851	55.8509	53.553	55.8924	52.8062	66.8628	53.539	55.1743	65.5022	52.2534	55.2202	52.8392	61.2503	53.9647	61.3132	54.9237	52.6321	66.4857	55.2601	55.5558	53.651	55.3823	54.1726	56.9662	56.4775	63.9278	66.6717	69.2436	58.4649	64.8007	64.0566	68.1878	63.7547	61.6973	65.5489	66.6955	61.5033	66.5	56.6828	64.5154	70.4739	63.3106	65.3144	62.7059	51.1947	63.8664	59.826	65.5766	64.2445	63.5916	64.0472	64.5351	69.0907	65.1433	63.0874	69.3629	67.3668	62.8318	67.0672	62.1564	70.9465	72.0904	65.9943	63.6778	64.8415	64.3437	61.9456	63.1857	64.7919	69.1183	65.7019	55.6494	53.5713	56.2435	53.7602	54.5667	50.4349	68.5917	53.8893	54.4685	54.4237	73.3407	55.021	56.2868	55.9941	55.5496	55.9295	60.8797	68.2968	68.6984	63.4151
